Aaron	Kentucky	-85.199114|36.812827
Aaronsburg	Pennsylvania	-77.387977|40.876944
Abac	Georgia	-83.498867|31.451722
Abbeville	Alabama	-85.279044|31.575479
Abbeville	Georgia	-83.306845|31.96484
Abbeville	Mississippi	-89.568835|34.455553
Abbeville	South Carolina	-82.378452|34.18186
Abbot Village	Maine	-69.52514|45.279838
Abbotsford	Wisconsin	-90.299438|44.964057
Abbott	Texas	-97.067146|31.891642
Abbott Park	Illinois	-87.847819|42.318901
Abbottstown	Pennsylvania	-76.993077|39.888099
Abbyville	Kansas	-98.207103|37.962597
Abell	Maryland	-76.744104|38.249554
Aberdeen	Maryland	-76.18054|39.510886
Aberdeen	Mississippi	-88.538033|33.828439
Aberdeen	North Carolina	-79.445039|35.121641
Aberdeen	Ohio	-83.763723|38.670864
Aberdeen	South Dakota	-98.485642|45.466109
Aberdeen	Washington	-123.79629|46.984293
Aberdeen Proving	Maryland	-76.130295|39.472434
Abernathy	Texas	-101.861111|33.849961
New York	New York	-101.861111|33.849961
Beijing	Beijing	-90.299438|44.964057